,accession,ambiguous_bases,checkm_completeness,checkm_contamination,checkm_marker_count,checkm_marker_lineage,checkm_marker_set_count,checkm_strain_heterogeneity,coding_bases,coding_density,contig_count,gc_count,gc_percentage,genome_size,gtdb_genome_representative,gtdb_representative,gtdb_taxonomy,gtdb_type_designation_ncbi_taxa,gtdb_type_designation_ncbi_taxa_sources,gtdb_type_species_of_genus,l50_contigs,l50_scaffolds,longest_contig,longest_scaffold,lsu_23s_contig_len,lsu_23s_count,lsu_23s_length,lsu_23s_query_id,lsu_5s_contig_len,lsu_5s_count,lsu_5s_length,lsu_5s_query_id,lsu_silva_23s_blast_align_len,lsu_silva_23s_blast_bitscore,lsu_silva_23s_blast_evalue,lsu_silva_23s_blast_perc_identity,lsu_silva_23s_blast_subject_id,lsu_silva_23s_taxonomy,mean_contig_length,mean_scaffold_length,mimag_high_quality,mimag_low_quality,mimag_medium_quality,n50_contigs,n50_scaffolds,ncbi_assembly_level,ncbi_assembly_name,ncbi_assembly_type,ncbi_bioproject,ncbi_biosample,ncbi_contig_count,ncbi_contig_n50,ncbi_country,ncbi_date,ncbi_genbank_assembly_accession,ncbi_genome_category,ncbi_genome_representation,ncbi_isolate,ncbi_isolation_source,ncbi_lat_lon,ncbi_molecule_count,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_refseq_category,ncbi_rrna_count,ncbi_scaffold_count,ncbi_scaffold_l50,ncbi_scaffold_n50,ncbi_scaffold_n75,ncbi_scaffold_n90,ncbi_seq_rel_date,ncbi_spanned_gaps,ncbi_species_taxid,ncbi_ssu_count,ncbi_strain_identifiers,ncbi_submitter,ncbi_taxid,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_total_gap_length,ncbi_total_length,ncbi_translation_table,ncbi_trna_count,ncbi_type_material_designation,ncbi_ungapped_length,ncbi_unspanned_gaps,ncbi_wgs_master,protein_count,scaffold_count,ssu_contig_len,ssu_count,ssu_gg_blast_align_len,ssu_gg_blast_bitscore,ssu_gg_blast_evalue,ssu_gg_blast_perc_identity,ssu_gg_blast_subject_id,ssu_gg_taxonomy,ssu_length,ssu_query_id,ssu_silva_blast_align_len,ssu_silva_blast_bitscore,ssu_silva_blast_evalue,ssu_silva_blast_perc_identity,ssu_silva_blast_subject_id,ssu_silva_taxonomy,total_gap_length,trna_aa_count,trna_count,trna_selenocysteine_count,ncbi_genus_taxid
274946,RS_GCF_021035625.1,0,99.97,0.78,1173,f__Enterobacteriaceae (UID5124),336,40.0,4774593,87.48279282070582,108,2753314,50.4477760161649,5457751,RS_GCF_003697165.2,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,not type material,none,f,9,9,617597,617597,1512,4,1498,NZ_JADIKR010000104.1,397596,6,356,NZ_JADIKR010000003.1,1498,2767,0,100,CP026723.3187241.3190143,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli,50534,50534,f,f,t,175953,175953,Contig,ASM2103562v1,na,PRJNA224116,SAMN16521176,108,175953,Germany: Mannheim,2021-12-03,GCA_021035625.1,none,full,none,rectal swab,49.48 N 8.47 E,0,7,Escherichia coli,none,na,14,none,none,none,none,none,2021/12/03,0,562,2,80066305,Heidelberg University Hospital,562,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,0,5457751,11,81,none,5457751,0,JADIKR000000000.1,5191,108,1693,1,none,none,none,none,none,none,1538,NZ_JADIKR010000099.1,1538,2841,0,100,CP032892.4729892.4731445,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli,0,18,81,1,561.0
30928,RS_GCF_002965935.1,0,96.03,0.27,1173,f__Enterobacteriaceae (UID5124),336,0.0,3944833,88.94520946074374,84,2218702,50.02567006536679,4435127,RS_GCF_000026225.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia fergusonii,not type material,none,f,11,11,290265,290265,3210,1,2901,NZ_PTSU01000047.1,139158,7,350,NZ_PTSU01000014.1,2901,5325,0,99.793,CP024661.4593421.4596322,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli,52799,52799,t,f,f,159051,159051,Contig,ASM296593v1,na,PRJNA224116,SAMN05464487,84,159051,USA: PA,2018-02-28,GCA_002965935.1,none,full,none,pleural cavity,none,0,1,Escherichia fergusonii,4463,na,13,none,none,none,none,none,2018/02/28,0,564,3,MOD1-EC5837,FDA/CFSAN,564,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia fergusonii,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia fergusonii,0,4435127,11,65,none,4435127,0,PTSU00000000.1,4220,84,1702,1,1538,2789,0,99.415,4349524,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Shigella;s__flexneri,1538,NZ_PTSU01000054.1,1538,2835,0,99.935,CP031134.1449423.1450976,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli,0,19,66,2,561.0
245677,RS_GCF_009867295.1,0,98.6,0.33,1173,f__Enterobacteriaceae (UID5124),336,0.0,4022911,87.48229602289247,52,2279661,49.57811018416222,4598543,RS_GCF_000759775.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia albertii,not type material,none,f,6,6,644600,644600,3376,1,2902,NZ_LXLZ01000044.1,644600,2,111,NZ_LXLZ01000043.1,2903,5304,0,99.656,AP014857.3399877.3402780,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia albertii,88425,97841,t,f,f,259503,263805,Scaffold,ASM986729v1,na,PRJNA224116,SAMN04195672,52,259503,Bangladesh: Dhaka; Buriganga river,2020-01-14,GCA_009867295.1,none,full,none,freshwater,none,0,5,Escherichia albertii,none,na,4,47,6,263805,204143,82112,2020/01/14,5,208962,1,DM104,University of Bergen,208962,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia albertii,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia albertii,423,4598543,11,70,none,4598120,0,LXLZ00000000.1,4398,47,1736,1,none,none,none,none,none,none,1538,NZ_LXLZ01000030.1,1538,2835,0,99.935,AP014857.3908697.3910238,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia albertii,423,18,70,1,561.0
74581,GB_GCA_910579235.1,0,99.23,0.19,1173,f__Enterobacteriaceae (UID5124),336,0.0,4089491,87.89791653860058,253,2352627,50.62862182235123,4652546,GB_GCA_021307345.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia ruysiae,not type material,none,f,32,18,179426,242977,none,0,none,none,none,0,none,none,none,none,none,none,none,none,18366,37825,f,f,t,38003,68166,Scaffold,MGBC113473,na,PRJEB45234,SAMEA8805237,253,38003,none,2021-07-07,GCA_910579235.1,derived from metagenome,full,MGBC113473,Faeces,none,0,none,uncultured Escherichia sp.,none,na,none,123,18,68166,35497,19482,2021/07/07,130,237777,none,MGBC113473,UNIVERSITY OF CAMBRIDGE,237777,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;x__environmental samples;s__uncultured Escherichia sp.,5714,4652546,none,none,none,4646832,0,CAJTTP000000000.1,4430,123,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,5714,18,57,1,561.0
106424,RS_GCF_000159895.2,0,99.78,0.16,1173,f__Enterobacteriaceae (UID5124),336,0.0,4101198,84.79814838401265,174,2389956,50.76209322938028,4836424,RS_GCF_003697165.2,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,not type material,none,f,20,1,304476,2494410,4860,1,2790,NZ_JH815272.1,761340,1,111,NZ_JH815273.1,2790,5153,0,100,CP025747.4593810.4596741,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli,27058,102902,t,f,f,77329,2494410,Scaffold,Escherichia_sp_1_1_43_V2,na,PRJNA224116,SAMN02463703,174,77329,none,2012-09-19,GCA_000159895.2,none,full,none,biological product [ENVO:02000043],none,0,7,Escherichia sp. 1_1_43,4861,na,3,47,1,2494410,639977,183237,2012/09/19,127,457400,1,1_1_43,Broad Institute,457400,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;x__unclassified Escherichia;s__Escherichia sp. 1_1_43,128273,4836424,11,75,none,4708151,0,ACID00000000.2,4433,47,4860,1,1538,2795,0,99.48,4349524,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Shigella;s__flexneri,1538,NZ_JH815272.1,1538,2841,0,100,CP031134.1449423.1450976,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli,128273,18,75,1,561.0
298323,RS_GCF_000158415.2,0,99.97,0.04,1173,f__Enterobacteriaceae (UID5124),336,0.0,4271148,86.96739660278962,65,2478134,50.51739820520044,4911206,RS_GCF_003697165.2,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,not type material,none,f,8,1,615039,2711194,548724,1,2901,NZ_JH660545.1,2711194,7,356,NZ_JH660541.1-#2,2901,5358,0,100,CP019213.4517433.4520362,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli,75469,613900,t,f,f,202046,2711194,Scaffold,Escherichia_sp_4_1_40B_V2,na,PRJNA224116,SAMN02463705,65,202046,none,2012-05-10,GCA_000158415.2,none,full,none,gastrointestinal tract,none,0,8,Escherichia sp. 4_1_40B,5062,na,11,8,1,2711194,662850,548724,2012/05/10,57,457401,2,4_1_40B,Broad Institute,457401,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;x__unclassified Escherichia;s__Escherichia sp. 4_1_40B,5700,4911206,11,85,none,4905506,0,ACDM00000000.2,4579,8,548724,1,1538,2795,0,99.48,4349524,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Shigella;s__flexneri,1538,NZ_JH660545.1,1538,2841,0,100,CP031134.1449423.1450976,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli,5700,19,85,1,561.0
311629,RS_GCF_001660175.1,0,99.26,0.07,1173,f__Enterobacteriaceae (UID5124),336,0.0,4045826,88.51618312129887,43,2313430,50.61413751315712,4570719,RS_GCF_014836715.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia whittamii,not type material,none,f,6,6,556310,556310,3040,1,2899,NZ_LFHY01000029.1,249052,4,111,NZ_LFHY01000003.1,2899,5354,0,100,LFHY01000029.96.2995,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia sp. B1147,106295,106295,t,f,f,298005,298005,Contig,ASM166017v1,na,PRJNA224116,SAMN03775335,43,298005,Australia,2016-06-08,GCA_001660175.1,none,full,none,none,none,0,4,Escherichia sp. B1147,4503,na,10,none,none,none,none,none,2016/06/08,0,754307,2,B1147,U.S. Food and Drug Administration,754307,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;x__unclassified Escherichia;s__Escherichia sp. B1147,0,4570719,11,74,none,4570719,0,LFHY00000000.1,4253,43,1697,1,1540,2782,0,99.286,2235399,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__coli,1539,NZ_LFHY01000009.1,1539,2832,0,99.87,CP032892.4829929.4831482,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli,0,19,74,1,561.0
198592,RS_GCF_000208465.1,0,99.67,0.64,1173,f__Enterobacteriaceae (UID5124),336,11.11,4194891,88.56056940331214,495,2401009,50.68897479874378,4736748,GB_GCA_021307345.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia ruysiae,not type material,none,f,73,73,63012,63012,794,2,788,NZ_AEJW01000354.1,none,0,none,none,788,1456,0,100,CP032449.4595699.4598627,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica subsp. enterica serovar Dublin,9569,9569,f,f,t,19809,19809,Contig,ASM20846v2,na,PRJNA224116,SAMN02469839,495,19809,none,2011-04-21,GCA_000208465.2,none,full,none,none,none,0,2,Escherichia sp. TW09231,5000,na,3,none,none,none,none,none,2011/04/21,0,754327,1,TW09231,"Georgia Institute of Technology, School of Civil and Environmental Engineering",754327,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;x__unclassified Escherichia;s__Escherichia sp. TW09231,0,4736748,11,21,none,4736748,0,AEJW00000000.1,4762,495,694,1,586,1072,0,99.659,4354243,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__coli,587,NZ_AEJW01000027.1,586,1077,0,99.829,CP010228.3837416.3838971,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli,0,11,21,1,561.0
393473,GB_GCA_000208445.2,0,99.97,1.25,1173,f__Enterobacteriaceae (UID5124),336,0.0,3961046,88.55170131976496,328,2267317,50.68731284141247,4473145,GB_GCA_021307345.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia ruysiae,not type material,none,f,51,51,103974,103974,1039,2,1031,AEJV01000145.1,none,0,none,none,1031,1905,0,100,CP015995.4691842.4694770,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli,13637,13637,f,f,t,28680,28680,Contig,ASM20844v2,na,PRJNA56123,SAMN02469834,328,28680,none,2011-04-21,GCA_000208445.2,none,full,none,none,none,0,none,Escherichia sp. TW09276,none,na,none,none,none,none,none,none,2011/04/21,0,754330,none,TW09276,"Georgia Institute of Technology, School of Civil and Environmental Engineering",754330,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;x__unclassified Escherichia;s__Escherichia sp. TW09276,0,4473145,none,none,none,4473145,0,AEJV00000000.1,4317,328,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,11,24,1,561.0
4829,RS_GCF_000208565.1,0,99.67,0.1,1173,f__Enterobacteriaceae (UID5124),336,0.0,4248881,88.33751990196735,1,2418194,50.27612225473437,4809826,RS_GCF_002900365.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia marmotae,not type material,none,f,1,1,4809826,4809826,4809826,1,2902,NZ_AEME01000001.1,4809826,2,111,NZ_AEME01000001.1,2902,5360,0,100,AEME01000001.4465821.4468723,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia sp. TW09308,4809826,4809826,t,f,f,4809826,4809826,Contig,ASM20856v2,na,PRJNA224116,SAMN02469841,1,4809826,none,2011-04-21,GCA_000208565.2,none,full,none,none,none,0,2,Escherichia sp. TW09308,4919,na,4,none,none,none,none,none,2011/04/21,0,754331,1,TW09308,"Georgia Institute of Technology, School of Civil and Environmental Engineering",754331,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;x__unclassified Escherichia;s__Escherichia sp. TW09308,0,4809826,11,67,none,4809826,0,AEME00000000.1,4639,1,4809826,1,1539,2769,0,99.155,2235399,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__coli,1538,NZ_AEME01000001.1,1538,2830,0,99.87,CP025979.2766445.2767998,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia marmotae,0,18,67,1,561.0
