,accession,ambiguous_bases,checkm_completeness,checkm_contamination,checkm_marker_count,checkm_marker_lineage,checkm_marker_set_count,checkm_strain_heterogeneity,coding_bases,coding_density,contig_count,gc_count,gc_percentage,genome_size,gtdb_genome_representative,gtdb_representative,gtdb_taxonomy,gtdb_type_designation_ncbi_taxa,gtdb_type_designation_ncbi_taxa_sources,gtdb_type_species_of_genus,l50_contigs,l50_scaffolds,longest_contig,longest_scaffold,lsu_23s_contig_len,lsu_23s_count,lsu_23s_length,lsu_23s_query_id,lsu_5s_contig_len,lsu_5s_count,lsu_5s_length,lsu_5s_query_id,lsu_silva_23s_blast_align_len,lsu_silva_23s_blast_bitscore,lsu_silva_23s_blast_evalue,lsu_silva_23s_blast_perc_identity,lsu_silva_23s_blast_subject_id,lsu_silva_23s_taxonomy,mean_contig_length,mean_scaffold_length,mimag_high_quality,mimag_low_quality,mimag_medium_quality,n50_contigs,n50_scaffolds,ncbi_assembly_level,ncbi_assembly_name,ncbi_assembly_type,ncbi_bioproject,ncbi_biosample,ncbi_contig_count,ncbi_contig_n50,ncbi_country,ncbi_date,ncbi_genbank_assembly_accession,ncbi_genome_category,ncbi_genome_representation,ncbi_isolate,ncbi_isolation_source,ncbi_lat_lon,ncbi_molecule_count,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_refseq_category,ncbi_rrna_count,ncbi_scaffold_count,ncbi_scaffold_l50,ncbi_scaffold_n50,ncbi_scaffold_n75,ncbi_scaffold_n90,ncbi_seq_rel_date,ncbi_spanned_gaps,ncbi_species_taxid,ncbi_ssu_count,ncbi_strain_identifiers,ncbi_submitter,ncbi_taxid,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_total_gap_length,ncbi_total_length,ncbi_translation_table,ncbi_trna_count,ncbi_type_material_designation,ncbi_ungapped_length,ncbi_unspanned_gaps,ncbi_wgs_master,protein_count,scaffold_count,ssu_contig_len,ssu_count,ssu_gg_blast_align_len,ssu_gg_blast_bitscore,ssu_gg_blast_evalue,ssu_gg_blast_perc_identity,ssu_gg_blast_subject_id,ssu_gg_taxonomy,ssu_length,ssu_query_id,ssu_silva_blast_align_len,ssu_silva_blast_bitscore,ssu_silva_blast_evalue,ssu_silva_blast_perc_identity,ssu_silva_blast_subject_id,ssu_silva_taxonomy,total_gap_length,trna_aa_count,trna_count,trna_selenocysteine_count,ncbi_genus_taxid
233238,RS_GCF_003974495.1,180,99.68,0.11,813,o__Pseudomonadales (UID4488),308,0.0,5715138,89.85592740005048,42,4224908,66.42775215383901,6360335,RS_GCF_001457615.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa,not type material,none,f,6,6,921529,921529,282058,2,2887,NZ_RXAA01000011.1,334902,4,110,NZ_RXAA01000005.1,2887,5326,0,99.965,CP031659.4962558.4965469,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa,151436,151436,t,f,f,282058,282058,Contig,ASM397449v1,na,PRJNA224116,SAMN10478556,42,282058,Germany: Hannover,2018-12-27,GCA_003974495.1,none,full,none,throat,none,0,1,Pseudomonas aeruginosa,none,na,8,none,none,none,none,none,2018/12/27,0,287,2,OY3,International Pseudomonas aeruginosa Consortium,287,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas aeruginosa group;s__Pseudomonas aeruginosa,0,6360335,11,58,none,6360335,0,RXAA00000000.1,5840,42,282058,1,none,none,none,none,none,none,1532,NZ_RXAA01000011.1,1532,2830,0,100,CP031660.6281927.6283463,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa,0,19,58,1,286.0
361801,RS_GCF_018614925.1,4,97.51,0.24,845,f__Pseudomonadaceae (UID4490),321,0.0,5292480,88.61327280316527,29,3605951,60.376300489865066,5972559,RS_GCF_014268615.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E tehranensis,not type material,none,f,6,6,666530,666530,none,0,none,none,17706,1,335,NZ_JAGGNZ010000023.1,none,none,none,none,none,none,205947,221205,f,f,t,402740,402740,Scaffold,ASM1861492v1,na,PRJNA224116,SAMN18298942,29,402740,Chile: Atacama Desert; between Atacama Salar and Lajia lagoon,2021-06-01,GCA_018614925.1,none,full,none,steppe soil[ENVO:00005777]|soil organic matter[ENVO:04000008],23.5043 S 67.6974 W,0,1,Pseudomonas fluorescens,none,na,2,27,6,402740,273124,132988,2021/06/01,2,294,0,ISL-19,Instituto de Nutricion y Tecnologia de los Alimentos - Universidad de Chile,294,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fluorescens,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas fluorescens group;s__Pseudomonas fluorescens,94,5972559,11,52,none,5972465,0,JAGGNZ000000000.1,5324,27,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,94,18,52,1,286.0
319981,RS_GCF_002269505.1,0,100.0,0.11,812,o__Pseudomonadales (UID4488),308,0.0,4481963,88.72645992557764,82,2931026,58.03545299130407,5051439,RS_GCF_002269505.1,t,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fragi_D,not type material,none,f,10,10,552981,552981,215850,2,2890,NZ_NQKQ01000004.1,552981,2,110,NZ_NQKQ01000001.1,2890,5326,0,99.931,CP021132.3308551.3311468,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi,61590,63142,t,f,f,182115,182115,Scaffold,ASM226950v1,na,PRJNA224116,SAMN07459806,82,182115,Australia: Melbourne,2017-08-24,GCA_002269505.1,none,full,none,aerobically stored beef,37.8143 S 144.9632 E,0,1,Pseudomonas fragi,4638,na,6,80,10,182115,88274,60490,2017/08/24,2,296,1,F1801,CSIRO Agriculture and Food,296,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fragi,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas chlororaphis group;s__Pseudomonas fragi,1033,5051439,11,73,none,5050406,0,NQKQ00000000.1,4635,80,215850,1,1530,2782,0,99.477,4356464,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__fragi,1533,NZ_NQKQ01000004.1,1533,2832,0,100,LT629795.1212597.1214137,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas psychrophila,1033,19,77,0,286.0
331423,RS_GCF_003700955.1,145,99.66,0.8,1044,g__Pseudomonas (UID4550),368,12.5,5375729,88.30996982097767,241,3607663,59.26886147320207,6087341,RS_GCF_009296165.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E kitaguniensis,not type material,none,f,32,30,208184,236287,53197,3,2887,NZ_RBQQ01000077.1,623,3,111,NZ_RBQQ01000220.1,2888,5293,0,99.758,LT629753.5802659.5805554,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas cedrina,25257,26352,t,f,f,56536,57081,Scaffold,ASM370095v1,na,PRJNA224116,SAMN03976443,241,56536,New Zealand: Te Puke,2018-10-30,GCA_003700955.1,none,full,none,none,none,0,1,Pseudomonas marginalis pv. marginalis,none,na,8,231,30,57081,32166,15758,2018/10/30,10,298,2,ICMP 9503,University of Toronto,97473,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas marginalis,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas fluorescens group;s__Pseudomonas marginalis;x__Pseudomonas marginalis pv. marginalis,251,6087341,11,56,none,6087090,0,RBQQ00000000.1,5556,231,4494,2,none,none,none,none,none,none,1536,NZ_RBQQ01000145.1,1530,2815,0,99.869,CP006250.5146755.5148284,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia plymuthica 4Rx13,251,19,56,0,286.0
228790,RS_GCF_003008615.1,0,99.76,0.18,813,o__Pseudomonadales (UID4488),308,0.0,5175727,89.64551779945364,1,3604627,62.43348111074853,5773548,RS_GCF_003008615.1,t,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E mendocina_C,not type material,none,f,1,1,5773548,5773548,5773548,4,2891,NZ_CP027657.1,5773548,4,106,NZ_CP027657.1,2891,5339,0,100,CP027657.2491286.2494201,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas mendocina,5773548,5773548,t,f,f,5773548,5773548,Complete Genome,ASM300861v1,na,PRJNA224116,SAMN08683323,none,none,USA:Massachusetts,2018-03-19,GCA_003008615.1,none,full,none,soil isolate,none,1,1,Pseudomonas mendocina,5252,na,12,1,1,5773548,5773548,5773548,2018/03/19,0,300,4,NEB698,"New England Biolabs, Inc.",300,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas mendocina,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas aeruginosa group;s__Pseudomonas mendocina,0,5773548,11,65,none,5773548,0,none,5241,1,5773548,4,1459,2695,0,100,4348538,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__fluorescens,1533,NZ_CP027657.1,1533,2832,0,100,CP027657.1092310.1093847,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas mendocina,0,19,65,0,286.0
45499,RS_GCF_900626055.1,0,100.0,0.73,811,o__Pseudomonadales (UID4488),308,22.22,5007470,88.99393860118995,2,3628875,64.49322291324626,5626754,RS_GCF_004521985.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E khazarica,not type material,none,f,1,1,5623977,5623977,5623977,4,2888,NZ_LR130779.1-#2,5623977,4,106,NZ_LR130779.1,2889,5256,0,99.515,FPJD01000018.84.2980,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. NFACC19-2,2813377,2813377,t,f,f,5623977,5623977,Complete Genome,Pseudomonas_oleovorans_T9AD,na,PRJNA224116,SAMEA5090619,2,5623977,none,2019-08-31,GCA_900626055.1,none,full,none,none,none,2,1,Pseudomonas oleovorans,none,na,12,2,1,5623977,5623977,5623977,2019/08/31,0,301,4,T9AD,Genoscope CEA,301,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas oleovorans,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas aeruginosa group;x__Pseudomonas oleovorans/pseudoalcaligenes group;s__Pseudomonas oleovorans,0,5626754,11,66,none,5626754,0,none,5192,2,5623977,4,none,none,none,none,none,none,1533,NZ_LR130779.1-#2,1535,2793,0,99.544,AB276372.1.1535,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas oleovorans,0,19,66,1,286.0
38760,RS_GCF_003671955.1,0,99.91,0.99,1389,g__Pseudomonas (UID4525),369,10.0,5322810,88.54113991430016,1,3718086,61.84770313789157,6011680,RS_GCF_021282585.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E alloputida,not type material,none,f,1,1,6011680,6011680,6011680,8,2889,NZ_CP022561.1,6011680,8,335,NZ_CP022561.1-#3,2889,5336,0,100,CP022561.5173897.5176813,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida,6011680,6011680,t,f,f,6011680,6011680,Complete Genome,ASM367195v1,na,PRJNA224116,SAMN07411804,none,none,China:Chongqing,2018-10-22,GCA_003671955.1,none,full,none,soil,none,1,1,Pseudomonas putida,none,na,25,1,1,6011680,6011680,6011680,2018/10/22,0,303,8,B4,Southwest University,303,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas putida,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas putida group;s__Pseudomonas putida,0,6011680,11,80,none,6011680,0,none,5362,1,6011680,8,none,none,none,none,none,none,1533,NZ_CP022561.1,1533,2832,0,100,CP011525.5437373.5438919,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. JY-Q,0,19,80,1,286.0
27624,GB_GCA_002692525.1,726,71.21,2.5,583,c__Gammaproteobacteria (UID4445),244,60.87,3006220,89.39216290901132,355,2102973,62.54695171152726,3362957,RS_GCF_014764705.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas sp002692525,not type material,none,f,97,97,47246,47246,none,0,none,none,none,0,none,none,none,none,none,none,none,none,9473,9473,f,f,t,10574,10574,Contig,ASM269252v1,na,PRJNA391943,SAMN07619840,355,10574,Atlantic Ocean: South Atlantic Ocean,2017-10-24,GCA_002692525.1,derived from metagenome,full,IN922,marine water sample,none,0,0,Pseudomonas sp.,3338,na,0,none,none,none,none,none,2017/10/24,0,306,0,IN922,Tara Oceans Consortium,306,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__unclassified Pseudomonas;s__Pseudomonas sp.,0,3362957,11,34,none,3362957,0,NZKN00000000.1,3432,355,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,16,34,1,286.0
78155,RS_GCF_023232525.1,180,100.0,0.11,812,o__Pseudomonadales (UID4488),308,0.0,5220316,88.82299974886051,16,3479867,59.21152082436477,5877212,RS_GCF_900074915.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E cerasi,not type material,none,f,3,3,1131106,1131106,907006,1,2882,NZ_JAJPOK010000002.1,483771,4,315,NZ_JAJPOK010000010.1,2879,5295,0,99.861,CP005970.3091515.3094431,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas syringae UMAF0158,367324,391814,t,f,f,907006,907006,Scaffold,ASM2323252v1,na,PRJNA224116,SAMN23765217,16,907006,Spain: Malaga,2022-05-03,GCA_023232525.1,none,full,none,Mango tissue,none,0,1,Pseudomonas syringae pv. syringae,none,na,7,15,3,907006,550548,291839,2022/05/03,1,317,1,UMAF0176,University of Malaga,321,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas syringae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas syringae group;x__Pseudomonas syringae group genomosp. 1;s__Pseudomonas syringae;x__Pseudomonas syringae pv. syringae,22,5877212,11,59,none,5877190,0,JAJPOK000000000.1,5045,15,907006,1,none,none,none,none,none,none,1535,NZ_JAJPOK010000002.1,1535,2830,0,99.935,LT629769.4552222.4553764,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas syringae,22,19,59,0,286.0
218066,RS_GCF_002091575.1,0,99.68,0.48,813,o__Pseudomonadales (UID4488),308,0.0,5194113,88.79523859995828,63,3713211,63.47868379393936,5849540,RS_GCF_900100535.1,f,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E flavescens,type strain of species,LPSN,f,10,10,442682,442682,5475,1,2887,NZ_BCZZ01000046.1,5475,1,110,NZ_BCZZ01000046.1,2832,5230,0,100,BCZZ01000046.363.3194,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas flavescens NBRC 103044,92849,92849,t,f,f,207323,207323,Contig,ASM209157v1,na,PRJNA224116,SAMD00046926,63,207323,none,2017-04-03,GCA_002091575.1,none,full,none,none,none,0,1,Pseudomonas flavescens NBRC 103044,5328,representative genome,3,none,none,none,none,none,2017/04/03,0,29435,1,NBRC 103044,National Institute of Technology and Evaluation,1215099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas flavescens,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas aeruginosa group;s__Pseudomonas flavescens;x__Pseudomonas flavescens NBRC 103044,0,5849540,11,55,assembly from type material,5849540,0,BCZZ00000000.1,5308,63,5475,1,1528,2787,0,99.607,8562,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__,1533,NZ_BCZZ01000046.1,1529,2789,0,99.608,U01916.1.1529,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas flavescens,0,19,55,0,286.0
